month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2004-06,Pennsylvania,366,NA,0,32034,NA,106,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32506
2004-06,Puerto Rico,0,NA,456,88,NA,16,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560
2004-06,Rhode Island,0,NA,356,293,NA,84,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735
2004-06,South Carolina,861,NA,2602,2528,NA,107,0,5,4,NA,421,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7092
2004-06,South Dakota,0,NA,626,1894,NA,49,0,3,4,NA,69,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879
2004-06,Tennessee,1531,NA,5900,5731,NA,225,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13387
2004-06,Texas,6682,NA,10691,16034,NA,851,4,41,34,NA,2750,4411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41498
2004-06,Utah,1175,NA,1330,2475,NA,88,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5068
2004-06,Vermont,0,NA,401,624,NA,12,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037
2004-06,Virgin Islands,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004-06,Virginia,0,NA,5100,6506,NA,158,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11764
2004-06,Washington,3034,NA,4225,5409,NA,231,25,5,14,NA,692,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14644
2004-06,West Virginia,0,NA,1928,2984,NA,188,0,3,4,NA,526,1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7174
2004-06,Wisconsin,0,NA,2546,6327,NA,2,0,0,1,NA,1,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9055
2004-06,Wyoming,185,NA,659,1263,NA,41,0,0,1,NA,112,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2544
2004-05,Alabama,0,NA,4731,4614,NA,256,0,43,62,NA,1120,1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12130
2004-05,Alaska,0,NA,1046,1693,NA,69,0,2,7,NA,150,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3152
2004-05,Arizona,1473,NA,4359,4044,NA,209,0,9,12,NA,657,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11245
2004-05,Arkansas,650,NA,2103,3267,NA,164,0,14,24,NA,518,1310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8050
2004-05,California,13000,NA,13517,15906,NA,0,11,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42434
2004-05,Colorado,799,NA,5173,6188,NA,361,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12521
2004-05,Connecticut,4164,NA,1191,1092,NA,86,532,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7065
2004-05,Delaware,0,NA,356,520,NA,9,0,0,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889
2004-05,District of Columbia,0,NA,2,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2004-05,Florida,0,NA,10806,8582,NA,424,0,19,8,NA,455,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20687
